Username,Review Date,Visit Date,Business,Review Title,Review Text,Rating
marthac829,"June 20, 2019",May 2019,Clochard,Lovely restaurant within walking distance of the Electra hotel,A fix-priced dinner with wine pairings in a lovely setting. Service was wonderful. All the dishes were presented beautifully and very tastful.,4.0
rn3sto,"June 17, 2019",June 2019,Clochard,top restaurant in the heart of thessaloniki,Great choice in a beautiful alley in the city center of Thessaloniki . Excellent dishes and professionally friendly service ! Definitely will come back to taste the rest of the menu !,5.0
130oguzk,"June 4, 2019",June 2019,Clochard,Must see,Incredible quality food.. expensive but meals are very tasty. Service super. Not traditional but must try.,5.0
limbozwerver,"May 31, 2019",May 2019,Clochard,Quality/price ratio too low,"With great expectations we went here and left disappointed. My wifes fish soup was excellent and worth the money. My lasagne wouldn’t touch the taste from a good Italian. The fish of the day had a lot of basic vegetables, but the taste was not ‘wow’, nor was my duck (served almost cold). The deserts, the crêpe and the chocolat caramel were ok. But as comparison we paid other nights for good food not more then 50€ for both of us, now it was 141€. You understand our titel...",2.0
W6140LHmarca,"April 14, 2019",April 2019,Clochard,Amazing restaurant,"An amazing place to wine and dine, it offers a very nice local and fresh cuisine with outstanding daily specials. Good English speaking service and good selection of wines. What is nice to see is that they have a nice selection of Greek wines as...More",5.0
JohnZolotas,"February 3, 2019",January 2019,Clochard,5 stars well deserved!,The location is good (central but doesn’t have any view). The restaurant is small and the decorated ceiling created a cozy atmosphere. I was the first to arrive. I asked to change the seating order and the maitre eagerly complied to this and every other...More,5.0
vikgias,"October 2, 2018",April 2018,Clochard,What a restaurant !,"This historical restaurant in the heart of the city of Thessaloniki was more than amazing ! The service was helpful and really warm and the food was something else , tasty , simple or gourmet .. really one of the best choices for anybody who...More",5.0
pchatzi2017,"July 2, 2018",December 2017,Clochard,Upper class dining,"One of my favorite restaurants in my home town Thessaloniki. All dishes are of the highest quality, so don't be afraid to taste anything You would avoid due to doubtful ingredients elsewhere.",5.0
mauriziocQ9627HQ,"June 24, 2018",June 2018,Clochard,Surprise in Salonicco,In a fashionable location this restaurant has the aim to combine an international cousine with local dishes. It gives to the tourist a partial delusion: the foods taste not so bad (angus is similar to a fast food sandwich but ...) and the courtesy is...More,3.0
kikaBGR,"June 6, 2018",May 2018,Clochard,Just perfect.,The No1 choice when in Thessaloniki. Delicious food and friendly staff. The smoking ban inside the restaurant make us rating Clochard as our No1 choice. Please keep it that way!,5.0
somersault_bln,"May 6, 2018",May 2018,Clochard,Good but we expected more for the price,We spent an evening at the Clochard because of its Pole position at TripAdvisor charts. We love cuisine and love to try out different restaurants Michelin starred ones as well as basic ones. The interior is very appealing and modern. The music was a bit...More,4.0
Nikos K,"April 13, 2018",April 2018,Clochard,Best restaurant in Thessaloniki,"Visited during the easter season, had the opportunity to taste different tastes than the usual. Very nice seafood plates diring feasting, and excellent menu during Anastasi’s night.",5.0
969dimitrisk,"March 17, 2018",March 2018,Clochard,Average tasting experience,"I am going to review Clochard as a fine dining restaurant, based on its prices and general atmosphere. The place offers a very pleasant atmosphere and the staff is really professional. All the dishes were very well presented. The disadvantage though is that they lack...More",3.0
loekse,"October 1, 2017",August 2017,Clochard,Dinner for 2,"The entry was welcome by Dimitris a great waiter and open for comments we start off with a beef tartar flavoured with home made pickle , in addition a baby spinach with tomato in lemon sauce .the dressing was to much ,after angus steak and...More",4.0
JohnDoeNumberTwo,"May 8, 2017",May 2017,Clochard,Good Restaurant,"Staff was professionnal, good service, Nice amuse bouche & starters Black angus beef was too much salty, but good rare cooking, Duck breast is ""rosé"", nice sauce, no problem, Garniture is well coocked, good seasoning, (sometimes too much salty) Chocolate Dessert offered by the restaurant,...More",4.0
Thomas S,"January 14, 2017",January 2017,Clochard,Amazing,I went there with a couple of friends and had a great time. Very good food and outstanding service. Definetly worth it.,5.0
mnaor,"January 1, 2017",December 2016,Clochard,New Year food festive at Clochatd,"We made reservation for New Year eve at Clochard, I looked for a chef's restaurant in Thessaloniki and arrived to Clochard. Every word written about it is correct. The place was very well prepared for long evening service with a fix menu. We had a...More",5.0
LeslieLongIsland_NY,"November 29, 2016",November 2016,Clochard,Best meal in Thessaloniki,lovely restaurant with terrific service and creative dishes and presentations. Had a wonderful meal here and no smoking inside is a plus. Dessert was particularly fantastic with the chocolate sphere that melted when they poured hot sauce on it to reveal a delicious bonus inside!,5.0
managerbluebay,"August 25, 2016",May 2016,Clochard,Best gourmet restaurant in Thessaloniki's heart center,Beautiful and classy with good service and even better food. This is one of the few non smoking restaurants in Thessaloniki. Recommended for a fine dinning experience.,5.0
Torsten_Ingo_Braun,"June 27, 2016",May 2016,Clochard,elegant,"This is quite an elegant restaurant with good food and excellent service. It is somewhat more expensive than others, and focus is on quality but not quantity.",4.0
Mangiapasta727,"February 18, 2016",January 2016,Clochard,Fine Dining Experience,"Greece may be in a depression, but fine dining is alive and well at this Thessaloniki gem. Clochard offers a diverse menu of Greek-inspired dishes with elegant and modern preparations. Our party focused on the sea-based offerings, thoroughly enjoying calamari, octopus, cod, and shrimp orzotto....More",5.0
Ath84,"January 31, 2016",November 2015,Clochard,Excellent!,"Perfect location, hidden just a few steps away aristotelous square, perfect interior, quieter on weekdays, polite service and a good menu. Good value for money given the selection and overall feel of the restaurant!absolutely recommended both for a romantic night out or a quiet business...More",4.0
Tony F,"January 9, 2016",October 2015,Clochard,Clean and Central,This modernistic restaurant lies in a small side street in this very interesting city.The menu is simple and wholesome.I particularily liked the ravioli and the lamb dishes.Service is good and not invasive.Nice for a special occasion.,4.0
DIOGENIS,"August 7, 2015",August 2015,Clochard,Amazing as always,It is a simply amazing restaurant dedicated to achieve perfection. Ingredients are always fresh and you can feel that during the meal and next morning! Excellent service and urban atmosphere.,5.0
ge0_pa,"January 13, 2015",,Clochard,Quality dinning,"We had a very good vegan dinning, nice atmosphere and friendly, professional service. Recommend for city center international cuisine.",5.0
nikorit,"December 18, 2014",December 2014,Clochard,smokers test,warning - it is alowed to smoke in .so if you dont like to eat and smoke it is not for you . Excellent restaurant in a very pleasant environment in the center of the town. Very polite and helpful staff and excellent dishes. The...More,4.0
KaterinaV110,"November 23, 2014",October 2014,Clochard,"Excellent Value, Service, Food, Atmosphere","You should not miss the chance of tasting the greatest food in the city! Great location in the heart of Thessaloniki, richly furnished and decorated. Whatever you try will be a success. Great and well-cooked food. Take a break from your sightseeing or shopping, you...More",5.0
Chrysis20,"November 13, 2014",October 2014,Clochard,A Real Restaurant,This is a real restaurant and you are going to love it as you cross the door. The food is excellent and the service is top class. Try the chateaubriand !! Very nice wine list.,5.0
Theodoros M,"November 8, 2014",November 2014,Clochard,Simply the best,We are fortunate enough to have this amazing restaurant in our city. The food and the wine list is by far the best in town. Just excellent ingredients prepared elegantly. Congrats,5.0
Z8316YF_,"November 6, 2014",,Clochard,Excellent choice,Excellent restaurant in a very pleasant environment in the center of the town. Very polite and helpful staff and excellent dishes. The prices are reasonable for the quality of the offerings and as expected the average income people cannot visit it in very often basis...More,5.0
Alexios R,"April 15, 2014",April 2014,Clochard,a very good restaurant,"small, intimate and very good food and service.upscale clientele.a place where you can have long conversations.",4.0
Travel08220269585,"December 5, 2022",December 2022,Clochard,Bad,Nice plates but unfortunately the flavor combinations do not work at all. So bad that a gyro is a better alternative at ladadika.,1.0
mattallentennis,"July 14, 2022",July 2022,Clochard,Incredible food with impeccable service.,"Absolutely superb meal. The best fish I have ever had, the dessert was incredible and the service impeccable. We can’t wait to come back.",5.0
ValRal77,"April 22, 2022",April 2022,Clochard,Excellent!!!,Excellent place. The food was marvelous the staff was very polite Dimitris was 100% professional. Alexandros the owner of the store was ONE OF A KIND.,5.0
RotaFortunae,"March 3, 2022",February 2022,Clochard,Fine,"Good location, cute interior design, okay service.

We ordered:
Fish and pumpkin soup-okay.
Carpaccio octopus -good, lacks some distinguished taste, with oil good
“Winter briam ”-different veggies and mushrooms-tasty
Fish of the day (sea brim)-casual.
Croaker fish with veggie spaghetti-okay
Traditional “Baklava”-lovely

Local beer-I’m not a beer drinker, but it was real good.

Overpriced

Overall I recommend this restaurant. Probably the only “fancy” one in the city center.",4.0
miss_ekaterina92,"December 6, 2021",November 2021,Clochard,Great ambiance!,Too large of portion sizes; through meat of excellent quality. Our waiter was not very professional. Only 2 types of salad.,3.0
Betty K,"November 30, 2021",November 2021,Clochard,"Superb materials, superb staff","I decided to take out my husband to celebrate his 50th bday last night to Clochard, one of the best restaurants of Thessaloniki (according to my parents who visited it decades ago). Both my husband and I were thrilled from beginning to end. The waiters...More",5.0
Sean W,"November 23, 2021",November 2021,Clochard,Outstanding!,That dinner was truly amazing! One of the best I’ve ever had in all of Europe. Keep up the great work. And your restaurant is beautiful. See you next time!,5.0
Andreas L,"January 25, 2020",December 2019,Clochard,quality cuisine,great experience. Truly good food. authentic food experience. it is expensive but it is really worth it. Everything we had was delicious. from the beginning till the end. I suggest you ask what the chef suggests for the day.,5.0
Andreas C,"December 30, 2019",December 2019,Clochard,One of the finest.,"My expectations were high, taking into account the positive reviews. And I was very pleased to find out they were all to the point. The service, the atmosphere, but especially the food, went beyond my expectations. From the starter to the dessert, it was a...More",5.0
geopanagos,"December 26, 2019",December 2019,Clochard,Very classy,Excellent food and very friendly stuff. The menu was really nice and easy for the kids as well. It is quite expensive but I think that worth it.,5.0
lydia_anto,"December 19, 2019",December 2019,Clochard,Most elegant restaurant in the city,"First and foremost the creative and delicious food with the highest quality of ingredients, but at the same time, the chef, the environment and the staff are the only reasons to make me come back to Thessaloníki from London. There is nothing else needed apart...More",5.0
emvallribera,"December 12, 2019",October 2019,Clochard,"In the center, nice food and very kind service","I went to have dinner with my colleagues on a business trip and we really enjoyed the food. The service was very kind and professional and the place is not too big and very cozy, I'd definitely repeat if I travel to Thessaloniki again.",5.0
Fede959,"November 30, 2019",December 2019,Clochard,The top in Thessaloniki,"Yesterday evening with my wife and my son we dined in Chlochard, sited in one of the most warm and nice road of the Town, Proxenou Koromila. It is not the first time we visit them and every time is a great experience. The interior...More",5.0
Marianna T,"November 22, 2019",October 2019,Clochard,great people & atmosphere,"great people & atmosphere & set up & food & wine & location, a little more expensive than expected, worth visiting !",5.0
Last C,"November 4, 2019",November 2019,Clochard,Super!,"Fantastic food. Amazing range of flavours, and great cocktails too. Really good service too - mentioned a dietary restriction for one of the guests during booking, and all of the staff attending to us were made aware. Admittedly on the pricier side but with excellent...More",5.0
Luigi G,"October 14, 2019",October 2019,Clochard,Good choice,"It was an amazing stay, the food was delicious and the staff were so pleasant friendly and helpful. A great place to enjoy a meal!",5.0
Dimitris K,"September 20, 2019",September 2019,Clochard,Top,"For one more time we were not disappointed. Service, food, ambience, all excellent. Located in the heart of the city only a few steps from Aristotelous square and in a very trendy location surrounded by nice Bars . Very nice wine list with excellent Greek and international wines. Fresh fish and premium meat all well priced. An excellent evening with friends.",5.0
Χαρης Κ,"September 18, 2019",September 2019,Clochard,Everything was perfect,Very nice place. I enjoyed the tastes of gourmet greek cousine. Also the wine list was excellent! The staff was very polite.I will definitely come again.,5.0
bennyM7979,"September 7, 2019",September 2019,Clochard,A break from a traditional taverna,"My girlfriend booked this as birthday treat on our last night in Greece. Food was outstanding, some extra touches were very welcomed, for example the little amuse-bouche was amazing, great flavour and really unexpected. Would definitely recommend this restaurant especially if your looking for something...More",5.0
Eleftheria C,"August 27, 2019",August 2019,Clochard,golden standard,i have been visiting clochard since i was a university student. although the cuisine changed the last few years the quality of the materials remained top. the wine list is extensive from the greek and international market and the prices very reasonable.i will keep visiting...More,5.0
konstantinosl133,"August 27, 2019",May 2019,Clochard,A marvellous place,"One of the best places to eat in Thessaloniki. The Vasiloglou family has been running this restaurant for ages and their infatuation with the sourcing the finest ingredients shows all the way. The food, the service, the hygiene set a whole new paradigm for going...More",5.0
24kburcu,"June 23, 2019",June 2019,Clochard,Best dinner option,"Elegant athmosphere in the city center of the city.. Menu consist of mediterranean and local ingredients but ambiance, service quality is perfect. Especially for dinner it will be great to make reservation.",5.0
149marleentje,"June 18, 2019",June 2019,Clochard,Average meal for high prices...”seven seas” and “grada Nuevo” restaurants are much better and more creative!,"We were disappointed when we finished eating in Clochard especially after having dined at Seven seas and Grada Nuevo. The waiters were not very attentive and behaved like a taverna, while the staff in the other fine dining restaurants were a lot more professional and...More",3.0
mimicu2013,"April 23, 2019",April 2019,Clochard,"Lovely food , superb service","We visited this historical restaurant on Sunday 21/4. I Have no idea where to start .From The warm and professional reception;from the wonderful design;The service was amazing ! The food was delicious, but this plate that will make me unforgettable is the seafood risotto! I...More",5.0
georgepastidis,"March 22, 2019",March 2019,Clochard,Best of,Great place from any aspect. Great cuisine. Great service. Great atmosphere. Their tartare was amazing!!,5.0
AssiaGekova,"March 1, 2019",October 2018,Clochard,Birthday dinner,That’s a restaurant that’s far from traditional Greek ones. Short and Very well defined menu and very good wine list. Perfect service! Highly recommended if you want to taste sth different in Thessaloniki,4.0
ArisS93,"February 25, 2019",January 2019,Clochard,Mr,"Awesome restaurant, rich varieties of wines, first class service, amazing food!!!!!!VALUE for money!!!!!!!!! Congratulations keep up the good work!!!!!!!!! Thank you for this amazing experience!!!!!!!!!!",5.0
Sam3-Carol,"February 16, 2019",February 2019,Clochard,"Excellent Cuisine, Top Shelf Service","Enjoyed an early dinner with friends in the packed, vibrant dining room. The wait staff members were perfectly attentive, the food served exactly at the right times. The pear salad was an adventure, the soup delicate, the chateaubrian steak cooked wonderfully as ordered, and we...More",5.0
petermY6062TD,"February 10, 2019",February 2019,Clochard,Impressive Quality,"We were very satisfied with the quality of the food and its presentation. Service was very attentive. We liked particularly the Fois Gras, freshly prepared. Prices are justified for the quality you get. Will come again...",5.0
AlexanM8,"December 15, 2018",December 2018,Clochard,Very good but Expected more,"Went on a Friday night. Superb and well priced wine list. Perfectly cooked chateaubriand. The seafood calamarata was blunt, and the bread was stale. The service was satisfactory but lacking skill and charm. Expected much more for the price tag. So overall a very good...More",4.0
891drinim,"December 3, 2018",December 2018,Clochard,Must visit,Perfect plase to eat special gourmet dishes and drink good wine. The service was excellent. I recommend it.,5.0
Belgo96,"November 30, 2018",September 2018,Clochard,Outstanding dining experience in Thessaloniki,"We dined at Clochard in September 2018 and it was an outstanding experience from beginning to end. It is fine dining and the price point and quality reflects that. The service was professional without being overbearing. The quality of the food was outstanding. Our salad, which was served at the table by our waiter, consisted of goats cheese, kataifi, caramelised nuts, figs and beans. It was fantastic. My main course of fish of the day with fava beans from Santorini, steamed vegetables and cuttlefish ink was also exceptionally good and the chocolate sphere dessert which melted to reveal a hazelnut and salted caramel centre when the sauce was poured onto it, was a beautiful piece of theatre. They even ordered in two flat white coffees for us from another location, which were excellent quality. This was a truly memorable dining experience and we'll go here again next time we visit Thessaloniki.",5.0
727akisk,"November 26, 2018",November 2018,Clochard,10 out of 10,"A place that everybody must visit at least one time (for sure more will follow). Excellent tastes with a variety of offered plates, a very well organised wine list, with the combination of the warm place itself and the gentle staff, guarantees a very beautiful...More",5.0
Anastasios129,"November 13, 2018",November 2018,Clochard,Must Visit,"Very nice environment,cozy.We went for a special occasion and we had a great time.All dishes were very nice, staff was very polite and the overall experience was excellent. Prices are high, but acceptable for such a restaurant.",5.0
Yiannis P,"September 18, 2018",September 2018,Clochard,Truly outstanding!,"It was indeed a night to remember, although it was for business. I am truly grateful for the experience of enjoying such high quality dishes in an amazing place like this. I cannot think of anything that disappointed me, even at the slightest. Clochard is...More",5.0
Sebmax,"September 9, 2018",September 2018,Clochard,Outstanding,"We pre- booked this restaurant, folleoing resding many excellent reviews. We were not disappointed. Although the first guests to arrive, the maitre de was to hand, offered us a lovely table, and was most attentive thriughout the evening. The menu, the wine list, and the...More",5.0
Nicolas K,"August 25, 2018",June 2018,Clochard,Not as good as expected.,"We were expecting more. The food was ok, simply ok , nothing great nothing that will make an impression and something that you will remember afterwards. The chocolate ball that is displayed in the picture on the website and possibly something that you might find...More",3.0
Eleni V,"June 27, 2018",February 2018,Clochard,Suberb,"Excellent choices, 5* gourmet food and great selection of wines. Special thanks to the maitre Mr. Dimitris Papotis , very stylish and attentive, always there to help you out with great suggestions. We felt like we were in Paris!! Will visit again!",5.0
Konstantinoslazaridi,"June 3, 2018",June 2018,Clochard,The best restaurant in the city,"With a 40 year history one of the oldest hi end restaurants in the city , you are sure you will have the quality , the service and one of the best experiences or Greek cuisine at its best ! More over the place has...More",5.0
